stage,bin,D,P_Days,I_Rate,L,mid_days,P,Survival,Stage3,Stage4
0,0,1,132,.0075757575757576,7,3.5,.94696969,.94696969,1,
0,7,0,144,0,8,11,1,.94696969,.94696969,
0,15,1,259,.0038610038610039,15,22.5,.94208497,.8921259,.94696969,
0,30,3,429,.006993006993007,30,45,.79020977,.7049666,.8921259,
0,60,0,390,0,30,75,1,.7049666,.7049666,
0,90,1,364,.0027472527472527,30,105,.91758239,.64686495,.7049666,
0,120,1,336,.0029761904761905,30,135,.91071427,.58910912,.64686495,
0,150,0,319,0,30,165,1,.58910912,.58910912,
0,180,2,703,.0028449502133713,90,225,.74395448,.43827036,.58910912,
0,270,0,227,0,,315,1,.43827036,.43827036,
1,0,1,109,.0091743119266055,7,3.5,.93577981,.93577981,,1
1,7,3,109,.0275229357798165,8,11,.77981651,.72973657,,.93577981
1,15,0,180,0,15,22.5,1,.72973657,,.72973657
1,30,4,297,.0134680134680135,30,45,.5959596,.43489352,,.72973657
1,60,3,205,.0146341463414634,30,75,.56097561,.24396466,,.43489352
1,90,1,123,.008130081300813,30,105,.75609756,.18446109,,.24396466
1,120,0,120,0,30,135,1,.18446109,,.18446109
1,150,1,115,.008695652173913,30,165,.73913044,.1363408,,.18446109
1,180,0,247,0,90,225,1,.1363408,,.1363408
1,270,0,96,0,,315,1,.1363408,,.1363408
